BSSID,SSID,frequency,latitude,longitude,WEP,WPA Personal,WPA Enterprise,WPA2 Personal,WPA2 Enterprise,WPA3 Personal,WPA3 Enterprise,Open,Wi-Fi Protected Setup,Mobile Hotspot,Fast Transition,Access Point,Ad Hoc,Wi-Fi 6
"e2:63:da:3e:2a:5b","Resident","5180","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"1e:9d:72:ce:41:6d","","2412","40.7359863","-74.0468787","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"6a:f8:53:c6:ad:ae","","5280","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"38:8b:59:cc:bd:57","Robertson","5745","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b8:f8:53:e3:7b:0c","Fios-8K8Js","5300","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"1e:9d:72:d5:41:6d","XFINITY","5220","40.7359863","-74.0468787","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"76:83:c2:9d:c3:fb","Resident","2462","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b8:f8:53:e3:7b:0b","Fios-8K8Js","5745","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"1e:9d:72:d5:41:6b","xfinitywifi","5220","40.7359863","-74.0468787","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"1e:9d:72:d5:41:6c","","5220","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b6:db:48:77:d8:23","","5785","40.7359863","-74.0468787","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"74:83:c2:9d:c3:fb","Hoboken","2462","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b8:f8:53:c6:ad:ac","Fios-7MHCb","5280","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"b8:f8:53:c6:ad:ab","Fios-7MHCb","5520","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e2:63:da:72:e4:47","Resident","5220","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b8:f8:53:c6:ad:aa","Fios-7MHCb","2437","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e0:63:da:3e:2a:5b","Hoboken","5180","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"e0:63:da:75:79:13","Hoboken","5765","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"cc:f4:11:06:fa:b2","Robertson","5745","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"f8:5e:42:47:c0:b4","Stbb","5785","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"aa:db:48:77:d8:23","xfinitywifi","5785","40.7359863","-74.0468787","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"f2:63:da:75:79:13","Guest","5765","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"74:83:c2:9e:c3:fb","Hoboken","5200","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b8:f8:53:a6:3d:38","Fios-xW2N7","5280","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e2:63:da:75:79:13","Resident","5765","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ae:db:48:77:d8:23","","5785","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"d4:6a:91:3c:8b:73","","5500","40.7359863","-74.0468787","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"b8:f8:53:cc:04:7b","Fios-Ncd9D","5805","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e0:63:da:72:e4:47","Hoboken","5220","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"d4:6a:91:3c:8b:72","","2412","40.7359863","-74.0468787","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"b2:db:48:77:d8:23","XFINITY","5785","40.7359863","-74.0468787","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"62:f8:53:e3:7b:0e","","5300","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"86:83:c2:9e:c3:fb","Guest","5200","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"22:d6:be:35:63:68","","5640","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"72:f8:53:d5:30:76","","5320","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"1e:9d:72:ce:41:69","","2412","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"f2:63:da:3e:2a:5b","Guest","5180","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"38:8b:59:cc:bd:5b","Robertson","2412","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"86:83:c2:9d:c3:fb","Guest","2462","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"e2:63:da:3e:49:00","DeBlasio","5180","40.7359863","-74.0468787","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"76:83:c2:9e:c3:fb","Resident","5200","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"1c:9d:72:cd:41:69","EV","5220","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"1c:d6:be:35:63:68","Ghar Ek Mandir","5640","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"1c:d6:be:35:63:67","Ghar Ek Mandir","2412","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"fa:5e:42:4f:c0:b6","xfinitywifi","5785","40.7359863","-74.0468787","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"fa:5e:42:4f:c0:b7","","5785","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"e0:63:da:3d:49:00","DeBlasio","2437","40.7359863","-74.0468787","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"ac:db:48:77:d8:23","Room 206","5785","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"72:f8:53:e3:7b:08","","5745","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"e2:63:da:3d:2a:5b","Resident","2462","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"fa:5e:42:4f:c0:b0","XFINITY","5785","40.7359863","-74.0468787","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"fa:5e:42:4f:c0:b1","","5785","40.7359863","-74.0468787","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"b8:f8:53:d5:30:73","Fios-cMGW8-5G","5805","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"b8:f8:53:d5:30:74","Fios-cMGW8-5G","5320","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"62:f8:53:cc:04:78","","5805","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"52:81:40:c7:e9:0b","DIRECT-0B-HP ENVY 6400 series","5745","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"f2:63:da:72:e4:47","Guest","5220","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b8:f8:53:24:a9:df","FBI SURVEILLANCE","5300","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"62:f8:53:c6:ad:a8","","5520","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"18:78:d4:24:33:28","Fios-72T8P","2412","40.7359863","-74.0468787","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e2:63:da:78:81:1d","Resident","5745","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ba:70:5d:3d:4e:d1","","2462","40.7355635","-74.0473543","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"a6:db:48:e8:db:0a","","2462","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"3e:9a:77:1e:e7:6a","BROADCOM_GUEST_1_6","5785","40.7355635","-74.0473543","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"a8:70:5d:85:c7:f9","","5745","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"9a:9d:5d:dd:29:ba","","2462","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"9a:9d:5d:dd:29:bc","","2462","40.7356094","-74.0473953","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"7a:83:c2:04:74:50","Resident","5180","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"7a:83:c2:03:7c:93","Resident","2412","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ae:70:5d:3b:68:d7","","2412","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b6:70:5d:3d:4e:d1","","2462","40.7355635","-74.0473543","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"ac:db:48:e8:db:0a","XFSETUP-DB06","2462","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"82:83:c2:04:7c:93","","5765","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ac:db:48:e8:db:0b","XFSETUP-DB06","5200","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"a8:70:5d:43:62:ce","XFSETUP-62C9","5240","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"fa:0d:ac:be:89:af","DIRECT-AF-HP OfficeJet Pro 9010","5785","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"74:83:c2:04:74:50","JerseyCity","5180","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"a8:70:5d:82:c7:f9","XFSETUP-C7F7","5745","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"ac:db:48:47:55:8f","","2437","40.7355635","-74.0473543","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"ae:70:5d:43:62:ce","","5240","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"9a:9d:5d:dc:2a:2b","","2437","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ac:db:48:f9:cb:ec","XFSETUP-CBE7","5745","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"b6:db:48:e8:db:0a","","2462","40.7355635","-74.0473543","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"b6:db:48:e8:db:0b","","5200","40.7355635","-74.0473543","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"ae:70:5d:3c:be:9d","","2462","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"a8:70:5d:48:c7:f9","","2412","40.7355635","-74.0473543","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"7a:83:c2:03:74:50","Resident","2437","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"74:83:c2:04:84:12","BNERealestate","5785","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"82:83:c2:03:7c:93","","2412","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"e0:63:da:77:81:1d","JerseyCity","2437","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"9a:9d:5d:dc:2a:2d","","2437","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"3e:9a:77:1e:e7:6e","xfinitywifi","5785","40.7355635","-74.0473543","false","false","false","false","false","false","false","true","true","false","false","true","false","false"
"9a:9d:5d:dc:2a:2f","","2437","40.7355635","-74.0473543","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"7e:83:c2:04:7c:93","Guest","5765","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"82:83:c2:03:74:50","","2437","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ac:db:48:e8:de:e8","G112","2412","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"3e:9a:77:1e:e7:6f","BROADCOM_GUEST_1_3","5785","40.7355635","-74.0473543","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"a8:70:5d:3b:67:f1","XFSETUP-67EC","5785","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"ba:70:5d:43:62:ce","","5240","40.7355635","-74.0473543","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"a8:70:5d:3b:67:f0","XFSETUP-67EC","2412","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"7e:83:c2:03:7c:93","Guest","2412","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"7e:83:c2:04:74:50","Guest","5180","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ac:db:48:48:55:8f","","2437","40.7355635","-74.0473543","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"b8:f8:53:c7:08:54","Fios-V4nfY","5280","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"b8:f8:53:c7:08:53","Fios-V4nfY","5660","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"ac:db:48:d6:68:0c","hg113","5240","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"b8:f8:53:c7:08:52","Fios-V4nfY","2437","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"a6:70:5d:3b:68:d7","","2412","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b0:e4:d5:7a:35:ed","Dreamer.","2462","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"72:f8:53:c7:08:50","","5660","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b2:e4:d5:7a:35:ec","Dreamerguest","2462","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ac:db:48:45:55:8f","","2437","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ba:db:48:e8:db:0b","","5200","40.7355635","-74.0473543","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"74:83:c2:04:7c:93","JerseyCity","5765","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"ac:db:48:f9:37:81","KRWSID","2462","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"a8:70:5d:3d:4e:d1","LGR","2462","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"82:83:c2:04:74:50","","5180","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"3c:9a:77:1e:e5:6c","CBCI-E560","5785","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"9a:9d:5d:dd:29:b8","","2462","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"7e:83:c2:03:74:50","Guest","2437","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"7a:83:c2:04:7c:93","Resident","5765","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"74:83:c2:03:74:50","JerseyCity","2437","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"3e:9a:77:1e:e7:68","XFINITY","5785","40.7355635","-74.0473543","false","false","false","false","true","false","false","false","true","false","false","true","false","false"
"3e:9a:77:1e:e7:69","BROADCOM_GUEST_1_5","5785","40.7355635","-74.0473543","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"74:83:c2:03:84:12","BNERealestate","2462","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"a8:70:5d:3c:be:9d","XFSETUP-BE99","2462","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"aa:db:48:d6:68:0c","xfinitywifi","5240","40.7355635","-74.0473543","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"98:9d:5d:dc:29:bf","XFSETUP-29BB","2462","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e0:63:da:78:81:1d","JerseyCity","5745","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"62:f8:53:c7:08:56","","5280","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b6:db:48:f9:cb:eb","","2412","40.7355635","-74.0473543","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"f2:63:da:78:81:1d","Guest","5745","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"74:83:c2:03:7c:93","JerseyCity","2412","40.7355635","-74.0473543","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"b2:db:48:d6:68:0c","XFINITY","5240","40.7355635","-74.0473543","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
